,n__fc__x,n__tc__x,n__fc__rw7,n__tc__rw7,n__fc__rw30,n__tc__rw30,n__fc__rw90,n__tc__rw90,duration_in__fc__rw7,target
169,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
170,-0.6230663400476832,-0.357651788481944,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
171,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
172,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
173,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
174,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
175,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
176,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
177,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
178,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
179,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
180,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
181,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
182,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
183,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
184,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
185,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
186,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
187,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
188,-0.6230663400476832,-0.357651788481944,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
189,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
